p,m,n,q,df,average ugamma rank,average ugamma_unbiased rank,average skewedd,average kurtosis,distribution,convergence rate,T,T+T_B,T+T_S,T+T_S2,T+T_E1,T+T_E2,T+T_3,T_SB,T_SB+T_B,T_SB+T_S,T_SB+T_S2,T_SB+T_E1,T_SB+T_E2,T_SB+T_3,T_cor1,T_cor1+T_B,T_cor1+T_S,T_cor1+T_S2,T_cor1+T_E1,T_cor1+T_E2,T_cor1+T_3,T_MVA,T_MVA+T_B,T_MVA+T_S,T_MVA+T_S2,T_MVA+T_E1,T_MVA+T_E2,T_MVA+T_3,T_MVA2,T_MVA2+T_B,T_MVA2+T_S,T_MVA2+T_S2,T_MVA2+T_E1,T_MVA2+T_E2,T_MVA2+T_3,T_cor2,T_cor2+T_B,T_cor2+T_S,T_cor2+T_S2,T_cor2+T_E1,T_cor2+T_E2,T_cor2+T_3,T_cor3,T_cor3+T_B,T_cor3+T_S,T_cor3+T_S2,T_cor3+T_E1,T_cor3+T_E2,T_cor3+T_3,T_cor4,T_cor4+T_B,T_cor4+T_S,T_cor4+T_S2,T_cor4+T_E1,T_cor4+T_E2,T_cor4+T_3,T_cor5,T_cor5+T_B,T_cor5+T_S,T_cor5+T_S2,T_cor5+T_E1,T_cor5+T_E2,T_cor5+T_3,T_SB^U,T_MVA^U,T_cor1^1,T_MVA2^U,average rmse,average bias of se (gamma_u),ad value T,ad value T_SB,ad value T_cor1,ad value T_MVA,ad value T_MVA2,ad value T_cor2,ad value T_cor3,ad value T_cor4,ad value T_cor5,ad value T_SB^U,ad value T_MVA^U,ad value T_cor1^1,ad value T_MVA2^U
15,3,1000,33,87,87,87,115.1695792,21.12408521,skewed.1,1,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.053,0.045,0.046,0.046,0.045,0.045,0.045,0.053,0.045,0.046,0.046,0.045,0.045,0.045,0,0,0,0,0,0,0,0.07,0.06,0.063,0.063,0.06,0.06,0.06,0.053,0.045,0.046,0.046,0.045,0.045,0.045,0.053,0.045,0.046,0.046,0.045,0.045,0.045,0.009,0.006,0.007,0.007,0.007,0.007,0.007,0.058,0.049,0.051,0.051,0.05,0.05,0.05,0.049,0.049,0,0.06,0.075060702,0.163053276,Inf,8.626435066,8.626435066,112.4227578,6.353617359,8.626435066,8.626435066,47.63440494,6.934994013,6.360187817,6.360187817,110.7613436,3.693709659
30,3,100,63,402,99,402,627.6970102,14.8075709,skewed.1,1,0.99,0.908,0.933,0.114,0.913,0.914,0.914,0.166,0.006,0.007,0,0.006,0.006,0.006,0.01,0.002,0.002,0,0.002,0.002,0.002,0,0,0,0,0,0,0,0.258,0.002,0.007,0,0.004,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,0.003,0.007,0,0.006,0.006,0.006,0.069,0.069,0,0.007,0.179217737,0.296595311,20023.31536,318.1464699,209.607938,296.4468366,420.1751213,Inf,14680.51302,238.9110331,360.0659771,52.36527022,52.36527022,269.9003203,84.79106093
30,3,200,63,402,199,402,586.2917963,19.23317865,skewed.1,1,0.999,0.994,0.994,0.986,0.994,0.994,0.994,0.101,0.007,0.011,0.001,0.009,0.009,0.009,0.023,0.001,0.004,0,0.001,0.001,0.001,0,0,0,0,0,0,0,0.147,0.01,0.016,0.001,0.011,0.011,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0.008,0.013,0.001,0.008,0.008,0.008,0.058,0.058,0,0.025,0.1353002,0.257405396,Inf,111.5617962,107.2135098,260.4078397,134.7287967,12310.23005,5964.083386,146.5997727,120.2482241,28.06080539,28.06080539,247.9757868,37.72859059
30,3,300,63,402,299,402,567.300327,21.72018666,skewed.1,1,1,0.999,0.999,0.999,0.999,0.999,0.999,0.08,0.015,0.019,0.013,0.015,0.015,0.015,0.044,0.009,0.011,0.006,0.009,0.009,0.009,0,0,0,0,0,0,0,0.109,0.029,0.037,0.02,0.031,0.032,0.032,0.001,0.001,0.001,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0.096,0.019,0.027,0.014,0.021,0.022,0.022,0.057,0.057,0,0.035,0.118173138,0.242775422,Inf,60.91403745,61.17816286,241.2285765,69.75766663,1715.72489,1218.833911,117.4510343,63.46042829,18.54032376,18.54032376,233.3569828,21.58895183
30,3,500,63,402,402,402,537.1423878,26.07018709,skewed.1,1,1,1,1,1,1,1,1,0.068,0.03,0.033,0.033,0.032,0.032,0.032,0.068,0.03,0.033,0.033,0.032,0.032,0.032,0,0,0,0,0,0,0,0.09,0.045,0.049,0.049,0.045,0.045,0.045,0.068,0.03,0.033,0.033,0.032,0.032,0.032,0.068,0.03,0.033,0.033,0.032,0.032,0.032,0,0,0,0,0,0,0,0.073,0.035,0.04,0.04,0.036,0.036,0.036,0.056,0.056,0,0.045,0.092558742,0.174237523,Inf,37.13846457,37.13846457,228.0624669,37.91775778,37.13846457,37.13846457,104.1385423,36.459373,16.52612131,16.52612131,223.1564963,15.46845403
30,3,1000,63,402,402,402,516.5124135,32.23277903,skewed.1,1,1,1,1,1,1,1,1,0.051,0.032,0.033,0.033,0.032,0.032,0.032,0.051,0.032,0.033,0.033,0.032,0.032,0.032,0,0,0,0,0,0,0,0.06,0.044,0.047,0.047,0.044,0.044,0.044,0.051,0.032,0.033,0.033,0.032,0.032,0.032,0.051,0.032,0.033,0.033,0.032,0.032,0.032,0,0,0,0,0,0,0,0.054,0.035,0.037,0.037,0.036,0.036,0.036,0.046,0.046,0,0.043,0.067898468,0.162973631,Inf,23.53049638,23.53049638,218.0014866,18.81769403,23.53049638,23.53049638,97.99964094,20.61011026,15.88100393,15.88100393,215.4418369,13.42459974
15,3,40,33,87,39,87,134.8201159,8.986918058,skewed.2,0.986,0.467545639,0.096348884,0.154158215,0.009127789,0.130831643,0.130831643,0.130831643,0.149087221,0,0.005070994,0,0.003042596,0.003042596,0.003042596,0.019269777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220081136,0.001014199,0.004056795,0,0.002028398,0.002028398,0.002028398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175456389,0.001014199,0.006085193,0,0.002028398,0.002028398,0.002028398,0.03346856,0.03346856,0,0.003042596,0.290056335,0.334419667,1048.166028,318.5231961,240.1553123,279.4750716,399.5977471,2568.62514,891.0880644,257.7285515,353.3420864,41.42220999,41.42220999,222.8282016,83.20418162
15,3,60,33,87,59,87,126.4341208,10.43581823,skewed.2,0.997,0.527582748,0.263791374,0.317953862,0.228686058,0.286860582,0.286860582,0.286860582,0.102306921,0.011033099,0.020060181,0.004012036,0.015045135,0.015045135,0.015045135,0.053159478,0.002006018,0.006018054,0.001003009,0.004012036,0.004012036,0.004012036,0,0,0,0,0,0,0,0.127382146,0.007021063,0.02106319,0.003009027,0.012036108,0.012036108,0.012036108,0.001003009,0,0,0,0,0,0,0.004012036,0,0,0,0,0,0,0.001003009,0,0,0,0,0,0,0.114343029,0.006018054,0.020060181,0.003009027,0.016048144,0.016048144,0.016048144,0.047141424,0.047141424,0,0.018054162,0.217222366,0.275819899,1362.213273,156.1414547,142.8508924,231.3101883,175.6999858,372.4918877,196.8869575,166.4131229,163.7799747,24.92157371,24.92157371,197.5222277,44.2866894
15,3,100,33,87,87,87,114.1859674,12.98689505,skewed.2,1,0.579,0.427,0.467,0.467,0.443,0.443,0.443,0.101,0.028,0.042,0.042,0.032,0.032,0.032,0.101,0.028,0.042,0.042,0.032,0.032,0.032,0,0,0,0,0,0,0,0.112,0.03,0.043,0.043,0.035,0.035,0.035,0.101,0.028,0.042,0.042,0.032,0.032,0.032,0.101,0.028,0.042,0.042,0.032,0.032,0.032,0.007,0,0,0,0,0,0,0.104,0.03,0.039,0.039,0.036,0.036,0.036,0.064,0.064,0,0.043,0.158610603,0.236701419,1693.432948,72.91274047,72.91274047,179.6090641,73.74098753,72.91274047,72.91274047,103.4144623,72.3126472,15.50787567,15.50787567,160.8252229,17.50127275
15,3,200,33,87,87,87,100.6103389,17.55295463,skewed.2,1,0.619,0.537,0.555,0.555,0.546,0.546,0.546,0.076,0.05,0.056,0.056,0.054,0.054,0.054,0.076,0.05,0.056,0.056,0.054,0.054,0.054,0.002,0,0,0,0,0,0,0.076,0.05,0.056,0.056,0.051,0.051,0.051,0.076,0.05,0.056,0.056,0.054,0.054,0.054,0.076,0.05,0.056,0.056,0.054,0.054,0.054,0.007,0.004,0.005,0.005,0.004,0.004,0.004,0.082,0.047,0.056,0.056,0.05,0.05,0.05,0.065,0.065,0,0.053,0.115813751,0.157580036,1953.989007,19.45393091,19.45393091,119.7374747,18.5194368,19.45393091,19.45393091,50.77150463,18.6112654,4.344637643,4.344637643,112.1538761,3.132691549
15,3,300,33,87,87,87,93.91287418,21.03940004,skewed.2,1,0.652,0.606,0.613,0.613,0.609,0.609,0.609,0.061,0.041,0.049,0.049,0.047,0.047,0.047,0.061,0.041,0.049,0.049,0.047,0.047,0.047,0.001,0,0,0,0,0,0,0.063,0.04,0.045,0.045,0.042,0.042,0.042,0.061,0.041,0.049,0.049,0.047,0.047,0.047,0.061,0.041,0.049,0.049,0.047,0.047,0.047,0.011,0.006,0.007,0.007,0.007,0.007,0.007,0.064,0.042,0.046,0.046,0.046,0.046,0.046,0.056,0.056,0,0.046,0.106625479,0.13030067,2152.150468,11.15194638,11.15194638,101.7332645,10.02310519,11.15194638,11.15194638,40.84649384,10.48238125,3.192735054,3.192735054,97.10689769,2.620931153
15,3,500,33,87,87,87,88.37177677,25.63785097,skewed.2,1,0.678,0.653,0.66,0.66,0.659,0.659,0.659,0.054,0.044,0.048,0.048,0.045,0.045,0.045,0.054,0.044,0.048,0.048,0.045,0.045,0.045,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.057,0.039,0.044,0.044,0.041,0.041,0.041,0.054,0.044,0.048,0.048,0.045,0.045,0.045,0.054,0.044,0.048,0.048,0.045,0.045,0.045,0.011,0.007,0.007,0.007,0.007,0.007,0.007,0.057,0.041,0.045,0.045,0.043,0.043,0.043,0.051,0.051,0.001,0.048,0.075204801,0.096217462,2370.626277,4.221789857,4.221789857,77.64499864,3.691937062,4.221789857,4.221789857,28.20923457,3.944759919,1.304278305,1.304278305,75.41918479,1.239832913
15,3,1000,33,87,87,87,82.93769602,33.03689071,skewed.2,1,0.707,0.69,0.7,0.7,0.695,0.695,0.695,0.061,0.055,0.057,0.057,0.057,0.057,0.057,0.061,0.055,0.057,0.057,0.057,0.057,0.057,0.012,0.009,0.01,0.01,0.01,0.01,0.01,0.051,0.046,0.047,0.047,0.046,0.046,0.046,0.061,0.055,0.057,0.057,0.057,0.057,0.057,0.061,0.055,0.057,0.057,0.057,0.057,0.057,0.026,0.022,0.022,0.022,0.022,0.022,0.022,0.058,0.048,0.049,0.049,0.048,0.048,0.048,0.058,0.058,0.01,0.048,0.0581073,0.064388646,2540.283749,0.586553401,0.586553401,46.02374465,0.219248615,0.586553401,0.586553401,13.22369045,0.344251641,0.574657841,0.574657841,45.40251209,0.302589673
30,3,100,63,402,99,402,523.9195426,19.51312191,skewed.2,1,0.964,0.671,0.734,0.005,0.683,0.685,0.685,0.165,0.001,0.001,0,0.001,0.001,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,0.001,0.001,0,0.001,0.001,0.001,0.062,0.062,0,0.01,0.156266227,0.224586662,8823.537572,276.589367,196.7262516,276.4716141,317.002499,Inf,14990.25256,216.0124368,294.6768114,41.10733161,41.10733161,251.2607007,66.61615968
30,3,200,63,402,199,402,463.079618,28.46673195,skewed.2,1,0.978,0.92,0.929,0.834,0.922,0.922,0.922,0.097,0.012,0.02,0.002,0.013,0.014,0.014,0.026,0.003,0.004,0,0.003,0.003,0.003,0,0,0,0,0,0,0,0.104,0.013,0.018,0.002,0.013,0.013,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0.011,0.018,0.002,0.014,0.014,0.014,0.061,0.061,0,0.03,0.107077115,0.159962912,11225.86622,85.07596266,85.49214197,220.7133102,87.86244753,Inf,6067.019204,116.4745076,86.13547226,17.03149657,17.03149657,209.4714188,21.71147155
30,3,300,63,402,299,402,435.7147394,36.08491093,skewed.2,1,0.989,0.969,0.972,0.964,0.97,0.97,0.97,0.092,0.031,0.035,0.02,0.033,0.033,0.033,0.062,0.014,0.019,0.012,0.015,0.015,0.015,0,0,0,0,0,0,0,0.091,0.031,0.033,0.022,0.031,0.031,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.031,0.034,0.021,0.032,0.032,0.032,0.074,0.074,0,0.05,0.101598188,0.140852318,12158.08458,48.96738497,45.65539106,188.667982,48.49544913,1721.494948,1226.890493,86.34732312,48.58947294,12.89179688,12.89179688,181.6170031,12.60343694
30,3,500,63,402,402,402,405.3302264,47.97274376,skewed.2,1,0.997,0.993,0.994,0.994,0.993,0.993,0.993,0.078,0.041,0.044,0.044,0.041,0.041,0.041,0.078,0.041,0.044,0.044,0.041,0.041,0.041,0,0,0,0,0,0,0,0.072,0.034,0.035,0.035,0.034,0.034,0.034,0.078,0.041,0.044,0.044,0.041,0.041,0.041,0.078,0.041,0.044,0.044,0.041,0.041,0.041,0,0,0,0,0,0,0,0.073,0.037,0.041,0.041,0.037,0.037,0.037,0.063,0.063,0,0.052,0.076254182,0.102262027,13909.17096,23.81543941,23.81543941,154.6469989,21.85811628,23.81543941,23.81543941,59.98163124,22.77469734,8.239129945,8.239129945,150.5622874,6.743225124
30,3,1000,63,402,402,402,378.7025107,71.95883791,skewed.2,1,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.064,0.044,0.046,0.046,0.044,0.044,0.044,0.064,0.044,0.046,0.046,0.044,0.044,0.044,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.054,0.036,0.038,0.038,0.037,0.037,0.037,0.064,0.044,0.046,0.046,0.044,0.044,0.044,0.064,0.044,0.046,0.046,0.044,0.044,0.044,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.058,0.038,0.042,0.042,0.04,0.04,0.04,0.058,0.058,0.001,0.045,0.055298327,0.065494003,14886.31276,2.806911722,2.806911722,112.4496942,2.391021199,2.806911722,2.806911722,36.81744093,2.500666523,0.756071553,0.756071553,111.2134812,0.799426678
15,3,40,33,87,39,87,129.6422345,9.863133217,skewed.3,0.993,0.283987915,0.041289023,0.083585096,0,0.057401813,0.057401813,0.057401813,0.149043303,0.002014099,0.007049345,0,0.004028197,0.004028197,0.004028197,0.021148036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21550856,0.002014099,0.008056395,0,0.004028197,0.004028197,0.004028197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003021148,0,0,0,0,0,0,0.181268882,0.002014099,0.008056395,0,0.003021148,0.003021148,0.003021148,0.03021148,0.03021148,0,0.009063444,0.273605266,0.312850864,441.9214774,301.2114489,229.3456809,269.85267,367.4162646,2615.006592,916.4028108,245.7316481,329.6912949,37.44122052,37.44122052,212.916671,74.37919496
15,3,60,33,87,59,87,120.0522819,11.65965709,skewed.3,0.998,0.345691383,0.120240481,0.162324649,0.099198397,0.148296593,0.148296593,0.148296593,0.107214429,0.00501002,0.011022044,0.003006012,0.008016032,0.008016032,0.008016032,0.049098196,0.002004008,0.004008016,0.001002004,0.003006012,0.003006012,0.003006012,0,0,0,0,0,0,0,0.141282565,0.00501002,0.014028056,0.004008016,0.01002004,0.01002004,0.01002004,0.001002004,0,0,0,0,0,0,0.002004008,0,0,0,0,0,0,0.002004008,0,0,0,0,0,0,0.121242485,0.00501002,0.012024048,0.003006012,0.006012024,0.006012024,0.006012024,0.043086172,0.043086172,0,0.014028056,0.206828015,0.260457618,577.2573692,145.4010317,132.4869369,216.4514331,161.001578,377.7889923,200.3550063,153.8937952,151.5755096,21.2134113,21.2134113,182.8470589,36.26883575
15,3,100,33,87,87,87,110.1624527,14.80320324,skewed.3,1,0.356,0.226,0.251,0.251,0.238,0.238,0.238,0.095,0.03,0.038,0.038,0.035,0.035,0.035,0.095,0.03,0.038,0.038,0.035,0.035,0.035,0,0,0,0,0,0,0,0.103,0.028,0.037,0.037,0.034,0.034,0.034,0.095,0.03,0.038,0.038,0.035,0.035,0.035,0.095,0.03,0.038,0.038,0.035,0.035,0.035,0.008,0,0.001,0.001,0.001,0.001,0.001,0.1,0.028,0.037,0.037,0.033,0.033,0.033,0.06,0.06,0,0.04,0.150717245,0.225970903,640.4823968,61.40348114,61.40348114,157.7753015,62.90877908,61.40348114,61.40348114,87.90133889,61.34097441,10.80411779,10.80411779,140.0738356,11.51676492
15,3,200,33,87,87,87,97.85243436,20.31343166,skewed.3,1,0.368,0.299,0.311,0.311,0.303,0.303,0.303,0.071,0.045,0.05,0.05,0.048,0.048,0.048,0.071,0.045,0.05,0.05,0.048,0.048,0.048,0.003,0,0.001,0.001,0.001,0.001,0.001,0.075,0.042,0.046,0.046,0.043,0.043,0.043,0.071,0.045,0.05,0.05,0.048,0.048,0.048,0.071,0.045,0.05,0.05,0.048,0.048,0.048,0.008,0.005,0.006,0.006,0.005,0.005,0.005,0.07,0.043,0.046,0.046,0.044,0.044,0.044,0.057,0.057,0.001,0.048,0.109654,0.143466062,706.1647143,22.27103015,22.27103015,112.6506617,20.4612668,22.27103015,22.27103015,51.82368951,21.14573647,6.17152117,6.17152117,104.932926,5.220265941
15,3,300,33,87,87,87,93.08390049,24.2825439,skewed.3,1,0.386,0.339,0.353,0.353,0.346,0.346,0.346,0.071,0.047,0.052,0.052,0.049,0.049,0.049,0.071,0.047,0.052,0.052,0.049,0.049,0.049,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.072,0.048,0.051,0.051,0.05,0.05,0.05,0.071,0.047,0.052,0.052,0.049,0.049,0.049,0.071,0.047,0.052,0.052,0.049,0.049,0.049,0.006,0.004,0.005,0.005,0.004,0.004,0.004,0.07,0.049,0.051,0.051,0.049,0.049,0.049,0.059,0.059,0.001,0.055,0.100683365,0.115767275,757.8779001,8.736507813,8.736507813,83.86881354,8.170141693,8.736507813,8.736507813,32.39874289,8.369999181,2.097807259,2.097807259,79.699897,1.738106842
15,3,500,33,87,87,87,88.0196407,30.03026796,skewed.3,1,0.408,0.383,0.391,0.391,0.387,0.387,0.387,0.069,0.054,0.055,0.055,0.054,0.054,0.054,0.069,0.054,0.055,0.055,0.054,0.054,0.054,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.059,0.047,0.051,0.051,0.051,0.051,0.051,0.069,0.054,0.055,0.055,0.054,0.054,0.054,0.069,0.054,0.055,0.055,0.054,0.054,0.054,0.015,0.011,0.012,0.012,0.012,0.012,0.012,0.063,0.05,0.052,0.052,0.052,0.052,0.052,0.06,0.06,0.004,0.055,0.070275544,0.081974296,815.7300991,2.929913682,2.929913682,58.13794237,2.441794239,2.929913682,2.929913682,19.21791122,2.659915001,0.838838916,0.838838916,56.23417382,0.549939862
15,3,1000,33,87,87,87,83.54371411,38.27282717,skewed.3,1,0.404,0.391,0.393,0.393,0.391,0.391,0.391,0.064,0.055,0.056,0.056,0.055,0.055,0.055,0.064,0.055,0.056,0.056,0.055,0.055,0.055,0.017,0.016,0.017,0.017,0.017,0.017,0.017,0.056,0.048,0.05,0.05,0.05,0.05,0.05,0.064,0.055,0.056,0.056,0.055,0.055,0.055,0.064,0.055,0.056,0.056,0.055,0.055,0.055,0.026,0.025,0.025,0.025,0.025,0.025,0.025,0.058,0.051,0.052,0.052,0.052,0.052,0.052,0.059,0.059,0.017,0.051,0.054362175,0.055178854,888.2510257,1.205410483,1.205410483,35.07475607,0.725387106,1.205410483,1.205410483,10.44814442,0.912989119,1.134212316,1.134212316,34.49001855,0.750296024
30,3,100,63,402,99,402,505.6679011,23.05169651,skewed.3,1,0.812,0.337,0.394,0,0.352,0.354,0.354,0.152,0.002,0.003,0,0.002,0.002,0.002,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.001,0.002,0,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169,0.001,0.002,0,0.002,0.002,0.002,0.06,0.06,0,0.015,0.148156767,0.211378115,3816.97924,254.8455693,185.9170186,260.5689789,285.6621261,Inf,Inf,200.5138372,268.7916737,35.79129605,35.79129605,234.8703926,55.04620309
30,3,200,63,402,199,402,449.8152683,34.12308928,skewed.3,1,0.864,0.678,0.709,0.448,0.687,0.688,0.688,0.093,0.014,0.017,0.002,0.016,0.016,0.016,0.024,0.003,0.004,0,0.003,0.003,0.003,0,0,0,0,0,0,0,0.1,0.011,0.019,0.001,0.011,0.011,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0.013,0.017,0.001,0.014,0.016,0.016,0.055,0.055,0,0.035,0.100856675,0.140997701,4717.41393,74.98555367,81.28894831,208.1991875,75.21525105,Inf,6161.570436,108.956033,74.89728956,14.05218772,14.05218772,197.0128102,18.45764251
30,3,300,63,402,299,402,426.3306141,43.77672536,skewed.3,1,0.875,0.783,0.802,0.764,0.79,0.791,0.791,0.086,0.029,0.033,0.017,0.029,0.029,0.029,0.056,0.013,0.017,0.01,0.013,0.013,0.013,0,0,0,0,0,0,0,0.087,0.027,0.034,0.019,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,0.027,0.033,0.018,0.028,0.028,0.028,0.063,0.063,0,0.054,0.09401868,0.113709882,4965.053155,34.66516177,33.56968311,166.652059,33.47463001,1803.218151,1297.299805,71.54620552,33.98106387,6.760048102,6.760048102,160.1209213,6.575427138
30,3,500,63,402,402,402,399.4652129,58.38451284,skewed.3,1,0.922,0.877,0.881,0.881,0.878,0.878,0.878,0.08,0.03,0.035,0.035,0.033,0.033,0.033,0.08,0.03,0.035,0.035,0.033,0.033,0.033,0,0,0,0,0,0,0,0.071,0.03,0.034,0.034,0.032,0.032,0.032,0.08,0.03,0.035,0.035,0.033,0.033,0.033,0.08,0.03,0.035,0.035,0.033,0.033,0.033,0.002,0,0,0,0,0,0,0.078,0.03,0.034,0.034,0.03,0.03,0.03,0.06,0.06,0,0.046,0.071663768,0.091835085,5686.784215,17.6645746,17.6645746,135.1568379,15.87673462,17.6645746,17.6645746,50.52439653,16.72954184,5.272788198,5.272788198,131.4055837,4.154769081
30,3,1000,63,402,402,402,375.8686193,87.40701892,skewed.3,1,0.937,0.914,0.92,0.92,0.918,0.918,0.918,0.068,0.047,0.049,0.049,0.047,0.047,0.047,0.068,0.047,0.049,0.049,0.047,0.047,0.047,0,0,0,0,0,0,0,0.057,0.036,0.04,0.04,0.037,0.038,0.038,0.068,0.047,0.049,0.049,0.047,0.047,0.047,0.068,0.047,0.049,0.049,0.047,0.047,0.047,0.008,0.004,0.004,0.004,0.004,0.004,0.004,0.061,0.041,0.045,0.045,0.043,0.043,0.043,0.059,0.059,0,0.051,0.052139191,0.057544623,6042.42957,4.34794207,4.34794207,88.11345626,2.933758919,4.34794207,4.34794207,26.575916,3.519456691,2.01270876,2.01270876,86.80384383,0.812191824